surgical mortality,risk oc tubal ligation,risk ac death oc surg,sens endo surv,spec endo surv,sens oc surv,spec oc surv,local oc surv,regional oc surv,distant oc surv,local ec surv,regional ec surv,distant ec surv,oc lifetime risk,ec lifetime risk,oc stage dist nat hist,ec stage dist nat hist,oc stage dist intervention,ec stage dist intervention,surgical complications
0.0016702795860953162,0.8001228284338495,1.0,0.8675673943215911,0.9542468667246041,0.6031035035372518,0.9542468667246041,0.9576999138594279,0.6458741770883512,0.26438137128670997,0.9554267105734954,0.6146430799595743,0.14814227271145844,-2,3,[0.19280333 0.28251883 0.52467784],[0.75016461 0.21236008 0.03747531],[0.76519529 0.11740235 0.11740235],[0.76923112 0.21923044 0.01153844],0.029276165803396707
0.0016828431500973044,0.96093230123904,1.0,0.8495736230829458,0.9514393756881069,0.6132440119723244,0.9514393756881069,0.9325918668515644,0.625126698615765,0.2660299608607994,0.9574527145015072,0.6027939364349374,0.15094884511660137,0,3,[0.12382286 0.35047086 0.52570629],[0.73949119 0.22924775 0.03126106],[0.78247847 0.11963684 0.09788469],[0.85113768 0.1414192  0.00744312],0.0295138926447179
0.0016370152434377907,0.8574399140483647,1.0,0.9026179107797383,0.9598698678038745,0.6204933201560391,0.9598698678038745,0.9197485820385706,0.6854231301648126,0.2568899504900328,0.9629870925906118,0.6346927350069891,0.1390149876572925,4,3,[0.14864562 0.34054175 0.51081263],[0.70429151 0.25135222 0.04435627],[0.75411051 0.15982817 0.08606132],[0.855413   0.13735765 0.00722935],0.028619984776319253
0.0016820961561202661,0.818309819439437,1.0,0.9097618214202711,0.959975737049744,0.6402890603984327,0.959975737049744,0.9532443180118866,0.7376580219808093,0.2817206894853496,0.9734074726430242,0.6758090625176733,0.15931440706680364,1,-2,[0.1725307  0.33098772 0.49648158],[0.75739726 0.20621233 0.03639041],[0.81865494 0.09067253 0.09067253],[0.86972925 0.11724367 0.01302707],0.029638761252324078
0.0016886330585653704,0.9182914310507074,1.0,0.9218654094254503,0.9617544505605704,0.6390788660663844,0.9617544505605704,0.9199783197365013,0.7682239903586334,0.2890496599310812,0.9727833307038855,0.697523597632511,0.1643612179051702,0,-2,[0.16075624 0.29373532 0.54550844],[0.75104956 0.18671283 0.06223761],[0.81177596 0.11293442 0.07528961],[0.87867745 0.1091903  0.01213226],0.029818602846328812
0.0017260942894895548,0.9078112284022823,1.0,0.9110637256119388,0.9593400982215856,0.6087843027982582,0.9593400982215856,0.885267599055532,0.767265001591194,0.3039755924843263,0.9557179861922291,0.703105403988034,0.17874426870607044,2,-2,[0.10376321 0.31368288 0.58255391],[0.76715571 0.19791765 0.03492664],[0.72889516 0.17621815 0.09488669],[0.80263848 0.17762537 0.01973615],0.03062255592768361
0.00167400105404251,0.9276640175066176,1.0,0.8628494491574511,0.95350100877668,0.6157021577632107,0.95350100877668,0.9625255488541872,0.6405957471223085,0.26501407258603854,0.9587123873247931,0.6117253253648082,0.14905278869700112,2,0,[0.12002849 0.26399145 0.61598006],[0.71628513 0.2269719  0.05674297],[0.82575465 0.11325948 0.06098587],[0.91721712 0.08112722 0.00165566],0.029347872707597315
0.0017255157974044762,0.9436987728063154,1.0,0.9542098087233566,0.9671637224407026,0.5616481334314848,0.9671637224407026,0.9586316398909388,0.8614539406108922,0.32223338313143546,0.9189384275396613,0.7729179652150674,0.1890886419744772,-3,0,[0.13955807 0.34417677 0.51626516],[0.67964004 0.24026997 0.08008999],[0.78760418 0.1168177  0.09557812],[0.86930505 0.12808105 0.0026139 ],0.030762670942712508
0.001696162100178655,0.9766543346228377,1.0,0.9732497257246877,0.9716772227896294,0.569825859446132,0.9716772227896294,0.9482637848870173,0.9017540527578347,0.3181063678678147,0.9308832386158395,0.8006176734156984,0.18168009696912849,2,1,[0.150479   0.38228445 0.46723655],[0.6270894  0.32816132 0.04474927],[0.83334951 0.10832282 0.05832767],[0.86149078 0.1246583  0.01385092],0.030190414998966263
0.0017246704473381337,0.8581493170828347,1.0,0.9257197072113261,0.9618201703831736,0.6159205551754504,0.9618201703831736,0.9718618721837131,0.7966638927746955,0.3087169072776226,0.9588851180496876,0.7237505296076164,0.18121661585855053,3,-2,[0.1710446  0.29013439 0.53882101],[0.70027572 0.25476563 0.04495864],[0.78925244 0.13698591 0.07376164],[0.82675048 0.16458705 0.00866248],0.030636606736555598
